k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,hyouji,orders2
25,3,0,4,\phi',,,E (\phi')=E \phi',0 0 0 0 1 0 0 0 0 0 0 0,"[O1] p68, \ H({\phi'})\equiv{\phi_{5}} \mod 4{\nu_{5}}{\bar{\kappa}_{8}} , \alpha'_{2}(={\bar{\rho}{'''}})",0 0 1 0 0 0 0 0 0 0 0 0,102,1 0 0 0 0 0 0 0 0 0 0 0,\phi',4
25,3,1,2,ν'ε6κ14,,,E (ν'ε_6κ_{14})=E ν'ε_7κ_{15},0 0 0 0 0 1 0 0 0 0 0 0,"[O] Prop6.1(1), \ H({\nu'}{\varepsilon_{6}}{\kappa_{14}})=4{\nu_{5}}{\bar{\kappa}_{8}}",4 0 0 0 0 0 0 0 0 0 0 0,3 10 23,0 1 0 0 0 0 0 0 0 0 0 0,ν'ε6κ14,2
25,3,2,2,"μ3,3",,,"E (μ_{3,3})=μ_{3,4}",0 0 0 0 0 0 1 0 0 0 0 0,"[O] Prop4.1(1), \  H(μ_{3,3})=α_{2}{'}=\bar{\rho}{'''}",0 1 0 0 0 0 0 0 0 0 0 0,103,0 0 1 0 0 0 0 0 0 0 0 0,"μ3,3",2
25,3,3,2,η3\bar{\mu}4σ21,,,E (η_3\bar{\mu}_4σ_{21})=η_4\bar{\mu}_5σ_{22},0 0 0 0 0 0 0 1 0 0 0 0,E (η2\bar{\mu}_{3}σ_{20})=η_{3}\bar{\mu}4σ_{21},0 0 0 0 0 0 0 0 0 0 0 0,2 38 9,0 0 0 1 0 0 0 0 0 0 0 0,η3\bar{\mu}4σ21,2
25,4,0,8,ν4σ'ρ14,,,"[O1] Prop6.3(2), \ \Delta({\sigma_{9}}{\rho_{16}})\equiv x{\nu_{4}}{\sigma'}{\rho_{14}} \mod E\pi_{28}^3 \ (x:odd)",0 0 0 0 0 0 0 0 0 0 0 0,H(ν_4σ'ρ_{14})=σ'ρ_{14},1 0 0 0 0 0 0 0 0 0 0 0,4 8 30,1 0 0 0 0 0 0 0 0 0 0 0,ν4σ'ρ14,8
25,4,1,2,ν4\bar{\nu}7κ15,,,"[O1] (7.6), \ {\nu_{5}}{\bar{\nu}_{8}}{\kappa_{16}}={\nu_{5}}{\varepsilon_{8}}{\kappa_{16}}",0 1 0 0 0 0 0 0 0 0 0 0,H(ν_{4}\bar{\nu}_{7}κ_{15})=\bar{\nu}_{7}κ_{15},0 1 0 0 0 0 0 0 0 0 0 0,4 11 23,0 1 0 0 0 0 0 0 0 0 0 0,ν4\bar{\nu}7κ15,2
25,4,2,2,ν4ε7κ15,,,E (ν_4ε_7κ_{15})=ν_5ε_8κ_{16},0 1 0 0 0 0 0 0 0 0 0 0,H(ν_{4}ε_{7}κ_{15})=ε_{7}κ_{15},0 0 1 0 0 0 0 0 0 0 0 0,4 10 23,0 0 1 0 0 0 0 0 0 0 0 0,ν4ε7κ15,2
25,4,3,2,ν4^2\bar{\sigma}10,,,E (ν_{4}^2\bar{\sigma}_{10})=ν_{5}^2\bar{\sigma}_{11},0 0 1 0 0 0 0 0 0 0 0 0,H(ν_{4}^2\bar{\sigma}_{10})=ν_{7}\bar{\sigma}_{10},0 0 0 1 0 0 0 0 0 0 0 0,4 4 51,0 0 0 1 0 0 0 0 0 0 0 0,ν4^2\bar{\sigma}10,2
25,4,4,4,E \phi',,,"[O1] (7.6), \ 2{\phi''}\equiv\pm{E^2\phi'} \mod {\nu_{5}}{\varepsilon_{8}}{\kappa_{16}} , {\nu_{5}^{2}}{\bar{\sigma}_{11}} , {\mu_{3,5} } , {\eta_{5}}{\bar{\mu}_{6}}{\sigma_{23}}",2 0 0 0 0 0 0 0 0 0 0 0,E (\phi')=E \phi',0 0 0 0 0 0 0 0 0 0 0 0,102,0 0 0 0 1 0 0 0 0 0 0 0,E \phi',4
25,4,5,2,E ν'ε7κ15,,,"[O1] Prop6.3(2), \ \Delta(\varepsilon_9 \kappa_{17})={E\nu'}{\varepsilon_{7}}{\kappa_{15}}",0 0 0 0 0 0 0 0 0 0 0 0,E (ν'ε_{6}κ_{14})=E ν'ε_{7}κ_{15},0 0 0 0 0 0 0 0 0 0 0 0,3 10 23,0 0 0 0 0 1 0 0 0 0 0 0,E ν'ε7κ15,2
